UMAP1,UMAP2,program_type,cluster2,cluster3,cluster4
8.453794,6.4842286,1,0,2,2
4.8170724,6.2986245,0,0,0,3
8.822831,7.1056814,0,0,0,3
6.0988135,6.215543,0,0,0,3
5.743407,3.065273,0,1,1,0
6.807263,5.0407133,1,0,0,0
8.987117,6.411685,0,0,2,2
8.172116,3.7998092,0,1,1,1
7.7484865,3.5147235,1,1,1,0
6.438093,2.0669472,0,1,1,1
7.358823,3.9279442,0,1,1,0
3.3981252,5.013693,0,0,2,2
7.026188,2.8877301,0,1,1,1
5.044182,6.057676,1,0,2,2
7.5233636,6.8443785,0,1,1,0
6.362248,6.1093574,0,0,0,3
6.334883,4.9747624,0,1,2,2
6.117841,4.753883,0,0,0,0
6.845645,2.8794115,0,0,2,0
5.6589494,6.479082,1,0,0,3
8.557693,5.7657275,0,1,1,0
5.885351,2.6800714,0,1,1,0
7.968688,7.6271377,1,1,1,0
8.777118,7.67385,1,0,2,2
6.2730103,4.009182,1,1,2,1
6.979904,3.9288676,1,1,1,1
5.7389174,3.018975,0,1,1,0
6.1528044,3.3797069,0,1,1,1
6.1268616,1.7694764,0,1,1,1
6.9185467,2.4390206,0,1,1,0
4.167982,7.3570776,1,0,0,3
9.174056,6.3537984,0,0,2,0
5.9058714,6.7099276,1,0,0,3
6.9433475,2.3758187,0,1,1,1
7.5711493,3.0842414,0,1,1,1
4.616093,3.96495,0,0,2,2
3.7624557,6.456097,1,0,0,3
3.8299856,5.5482364,1,0,0,3
5.6759005,4.1612353,0,1,2,1
7.5948086,4.223128,1,1,1,0
9.213975,6.10246,1,0,2,2
7.2940774,6.5374947,1,0,0,3
5.3456006,6.526655,0,0,0,3
6.8756785,4.9756455,0,1,1,0
5.286169,8.391552,0,1,1,1
4.16334,6.959556,1,0,0,3
8.592594,7.375938,0,0,0,3
5.6440845,6.8830786,1,0,0,3
8.99981,7.8285127,1,0,2,2
4.8423386,3.6945674,1,0,2,2
6.4317265,4.2707796,0,1,1,1
8.563694,7.0874987,1,0,0,3
3.6882565,5.123018,0,0,0,2
9.017462,8.010377,1,0,0,3
8.933453,7.9921813,0,0,0,3
7.9527106,5.276853,0,1,1,1
7.7481685,7.111559,0,0,0,0
6.3574686,2.666113,0,1,2,1
5.9954004,6.849181,0,0,0,3
5.017299,6.292545,1,0,0,2
9.005338,7.6529408,0,0,0,3
4.8862824,4.380012,1,0,2,2
5.4578424,3.4869504,1,1,2,2
6.6456494,5.312078,0,1,1,0
8.277797,7.843391,1,0,0,3
7.3426156,2.2631304,1,1,1,1
3.692395,5.126573,0,0,0,3
8.547566,6.817668,1,0,0,3
4.9034867,6.9804296,0,0,0,3
7.5825047,6.511324,1,0,0,3
6.1651454,4.8642287,0,0,0,3
5.663717,3.4015725,0,1,1,1
8.60825,5.8458447,0,1,1,0
4.938567,4.786022,1,0,2,2
5.2758293,8.374395,1,0,0,3
6.215779,2.858713,1,1,1,1
8.1619835,6.519163,1,0,0,3
4.12223,5.2849092,0,0,0,3
6.960202,4.194045,1,0,0,3
6.04246,6.562555,1,0,0,2
4.462042,4.761159,1,0,2,2
3.2815979,5.9176054,1,0,0,3
5.7967286,6.4067893,1,0,0,3
5.1735625,6.570271,0,0,2,2
6.178524,4.014819,0,1,1,1
6.0353665,5.499884,0,0,0,3
7.4632635,2.3266509,0,1,1,1
5.8175497,4.474478,1,0,2,2
5.6733522,5.098004,1,0,2,2
5.078934,8.265356,1,0,2,2
4.993437,6.35499,0,0,0,2
5.2648134,6.553199,0,0,0,3
6.0386834,3.5668647,0,1,1,1
5.3358717,6.577646,0,0,0,2
8.243551,7.7245383,0,1,1,0
